heure;latitude;longitude;magnitude;ville;type
2018-02-10T00:39:48.528000+00:00;45.441;6.314;1.6;Saint-Jean-de-Maurienne;earthquake
2018-02-10T00:31:55.887000+00:00;44.516;6.614;0.7;Gap;earthquake
2018-02-10T00:18:36.430000+00:00;45.448;6.276;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-10T00:18:18.254000+00:00;44.821;7.638;2.0;Carmagnola;earthquake
2018-02-09T22:23:59.639000+00:00;45.409;6.365;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-09T22:23:39.333000+00:00;44.752;6.707;1.0;Briançon;earthquake
2018-02-09T22:10:30.412000+00:00;44.584;7.445;1.0;Savigliano;earthquake
2018-02-09T19:55:11.168000+00:00;51.58;177.218;5.3;Petropavlovsk-Kamchatskiy;None
2018-02-09T17:43:33.077000+00:00;18.635;-61.942;5.4;Les Abymes;None
2018-02-09T16:50:10.486000+00:00;18.495;-65.055;4.7;Fajardo;None
2018-02-09T16:06:31.547000+00:00;48.773;10.153;2.3;Aalen;quarry blast
2018-02-09T15:38:49.866000+00:00;44.433;6.96;0.6;Borgo San Dalmazzo;earthquake
2018-02-09T14:58:08.818000+00:00;22.169;100.9;4.7;Kaiyuan;None
2018-02-09T14:12:27.017000+00:00;48.698;9.891;2.3;Schwäbisch Gmünd;quarry blast
2018-02-09T13:00:40.016000+00:00;48.087;7.798;1.8;Emmendingen;quarry blast
2018-02-09T12:39:16.873000+00:00;-21.04;-70.637;4.7;Antofagasta;None
2018-02-09T12:09:08.124000+00:00;47.238;7.547;2.1;Solothurn;quarry blast
2018-02-09T12:03:40.163000+00:00;45.707;4.488;2.2;Mornant;quarry blast
2018-02-09T10:48:59.893000+00:00;48.435;6.899;1.9;Saint-Dié-des-Vosges;quarry blast
2018-02-09T10:44:00.013000+00:00;49.227;7.989;2.0;Landau in der Pfalz;quarry blast
2018-02-09T10:38:23.876000+00:00;46.171;5.258;2.2;Bourg-en-Bresse;quarry blast
2018-02-09T10:34:47.455000+00:00;42.988;3.165;2.1;Narbonne;quarry blast
2018-02-09T10:33:02.623000+00:00;45.709;4.501;2.3;Mornant;quarry blast
2018-02-09T09:00:10.735000+00:00;45.805;5.357;1.5;Ambérieu-en-Bugey;quarry blast
2018-02-09T08:52:31.076000+00:00;48.57;8.174;2.0;Bühl;quarry blast
2018-02-09T08:29:59.525000+00:00;44.56;4.629;1.4;Montélimar;quarry blast
2018-02-09T08:12:32.584000+00:00;44.286;7.442;1.3;Cuneo;earthquake
2018-02-09T06:48:04.461000+00:00;47.099;8.961;2.1;Schübelbach;earthquake
2018-02-09T05:04:57.271000+00:00;45.877;7.026;1.4;Aosta;earthquake
2018-02-08T23:18:47.671000+00:00;43.077;-1.523;1.3;Pamplona;earthquake
2018-02-08T23:02:14.084000+00:00;40.669;-1.097;2.8;Teruel;earthquake
2018-02-08T22:15:54.539000+00:00;45.73;3.062;2.2;Clermont-Ferrand;earthquake
2018-02-08T22:05:49.088000+00:00;44.447;6.658;0.6;Gap;earthquake
2018-02-08T21:54:32.838000+00:00;43.114;-1.065;0.8;Oloron-Sainte-Marie;earthquake
2018-02-08T21:19:27.807000+00:00;-37.388;-73.706;5.2;Talcahuano;None
2018-02-08T20:58:50.340000+00:00;32.963;93.565;4.6;Dibrugarh;None
2018-02-08T19:07:42.538000+00:00;44.483;6.726;1.8;Gap;earthquake
2018-02-08T19:06:29.318000+00:00;44.485;6.721;1.9;Gap;earthquake
2018-02-08T18:47:10.499000+00:00;45.874;7.028;1.6;Aosta;earthquake
2018-02-08T18:33:35.149000+00:00;-5.539;153.391;4.9;Port Moresby;None
2018-02-08T17:53:33.973000+00:00;44.734;6.613;0.5;Gap;earthquake
2018-02-08T16:08:49.820000+00:00;43.162;6.755;2.3;Fréjus;explosion
2018-02-08T16:02:31.620000+00:00;46.936;6.278;1.9;Pontarlier;quarry blast
2018-02-08T15:45:35.855000+00:00;47.559;6.008;2.2;Besançon;quarry blast
2018-02-08T14:11:58.249000+00:00;43.214;6.728;2.7;Fréjus;explosion
2018-02-08T13:22:35.543000+00:00;45.415;6.366;1.4;Saint-Jean-de-Maurienne;earthquake
2018-02-08T13:11:22.368000+00:00;47.684;8.329;1.7;Waldshut-Tiengen;quarry blast
2018-02-08T12:15:48.207000+00:00;47.012;7.565;2.1;Burgdorf;quarry blast
2018-02-08T11:45:27.256000+00:00;48.362;9.809;2.0;Ulm;quarry blast
2018-02-08T11:32:03.021000+00:00;44.61;6.829;1.6;Briançon;earthquake
2018-02-08T11:24:30.876000+00:00;45.891;4.627;2.3;Villefranche-sur-Saône;quarry blast
2018-02-08T11:15:45.141000+00:00;46.138;3.513;2.4;Vichy;quarry blast
2018-02-08T11:12:43.805000+00:00;48.494;7.21;1.7;Obernai;quarry blast
2018-02-08T11:03:15.618000+00:00;48.484;8.743;1.7;Rottenburg;quarry blast
2018-02-08T11:01:59.431000+00:00;45.869;4.666;2.2;Dardilly;quarry blast
2018-02-08T09:52:53.183000+00:00;5.153;96.101;4.9;Banda Aceh;None
2018-02-08T09:20:15.878000+00:00;45.645;4.312;2.1;Saint-Just-Saint-Rambert;quarry blast
2018-02-08T09:18:24.359000+00:00;44.444;6.653;0.8;Gap;earthquake
2018-02-08T09:15:20.394000+00:00;45.867;5.333;1.8;Ambérieu-en-Bugey;quarry blast
2018-02-08T09:15:18.026000+00:00;45.729;3.942;2.3;Montbrison;quarry blast
2018-02-08T08:55:54.689000+00:00;45.813;5.391;2.0;Ambérieu-en-Bugey;quarry blast
2018-02-08T08:50:48.638000+00:00;48.174;8.886;2.0;Albstadt;quarry blast
2018-02-08T08:15:51.245000+00:00;48.499;9.923;1.9;Ulm;quarry blast
2018-02-08T08:11:10.474000+00:00;48.427;9.3;1.7;Reutlingen;quarry blast
2018-02-08T06:25:34.991000+00:00;45.448;6.276;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-08T02:58:55.186000+00:00;44.256;6.793;2.0;Digne-les-Bains;earthquake
2018-02-08T02:58:29.481000+00:00;44.861;7.028;1.5;Pinerolo;earthquake
2018-02-08T02:54:18.073000+00:00;44.872;7.021;1.5;Pinerolo;earthquake
2018-02-08T02:29:18.018000+00:00;79.649;2.806;5.6;Tromsø;None
2018-02-08T02:08:23.348000+00:00;44.387;6.856;1.4;Borgo San Dalmazzo;earthquake
2018-02-08T01:17:18.748000+00:00;47.789;7.363;1.5;Mulhouse;earthquake
2018-02-08T00:54:20.674000+00:00;24.15;121.768;4.9;Taipei;None
2018-02-08T00:42:57.127000+00:00;44.183;8.598;2.5;Savona;earthquake
2018-02-07T23:16:53.988000+00:00;44.468;6.674;0.8;Gap;earthquake
2018-02-07T23:12:42.106000+00:00;51.504;6.77;3.0;Essen;earthquake
2018-02-07T20:30:38.955000+00:00;49.158;8.189;1.6;Landau in der Pfalz;earthquake
2018-02-07T19:56:10.692000+00:00;45.448;6.326;1.7;Albertville;earthquake
2018-02-07T19:47:50.009000+00:00;45.426;6.327;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-07T19:46:16.008000+00:00;45.441;6.292;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-07T18:53:28.013000+00:00;45.459;6.302;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-07T18:47:08.808000+00:00;45.448;6.329;2.0;Albertville;earthquake
2018-02-07T18:02:30.164000+00:00;45.42;6.389;1.2;Saint-Jean-de-Maurienne;earthquake
2018-02-07T17:33:28.509000+00:00;41.821;144.387;4.8;Kushiro;None
2018-02-07T17:20:41.639000+00:00;45.444;6.317;1.2;Saint-Jean-de-Maurienne;earthquake
2018-02-07T17:19:55.090000+00:00;45.452;6.284;1.4;Saint-Jean-de-Maurienne;earthquake
2018-02-07T17:10:21.842000+00:00;45.993;7.548;1.7;Sion;earthquake
2018-02-07T17:04:28.947000+00:00;44.476;6.897;0.7;Busca;earthquake
2018-02-07T15:37:04.432000+00:00;45.404;6.384;1.3;Saint-Jean-de-Maurienne;earthquake
2018-02-07T15:21:33.103000+00:00;24.162;121.603;5.5;Taipei;None
2018-02-07T14:24:37.305000+00:00;45.418;6.364;1.4;Saint-Jean-de-Maurienne;earthquake
2018-02-07T13:53:40.133000+00:00;45.449;6.284;1.4;Saint-Jean-de-Maurienne;earthquake
2018-02-07T13:06:58.847000+00:00;47.688;8.329;1.4;Waldshut-Tiengen;quarry blast
2018-02-07T13:06:49.324000+00:00;24.865;121.048;4.8;Taipei;None
2018-02-07T12:58:55.148000+00:00;51.193;5.636;2.7;Weert;earthquake
2018-02-07T12:36:19.006000+00:00;-29.193;-72.471;5.1;Coquimbo;None
2018-02-07T11:53:07.088000+00:00;45.426;6.322;1.6;Saint-Jean-de-Maurienne;earthquake
2018-02-07T11:52:06.322000+00:00;45.449;6.267;1.5;Saint-Jean-de-Maurienne;earthquake
2018-02-07T11:35:43.299000+00:00;47.762;6.939;1.9;Belfort;quarry blast
2018-02-07T11:13:08.263000+00:00;24.148;121.813;4.6;Taipei;None
2018-02-07T11:10:42.024000+00:00;43.677;6.958;1.9;Grasse;quarry blast
2018-02-07T10:54:00.647000+00:00;48.419;6.905;1.4;Saint-Dié-des-Vosges;quarry blast
2018-02-07T10:52:08.513000+00:00;50.208;5.251;2.3;Marche-en-Famenne;quarry blast
2018-02-07T10:30:47.848000+00:00;47.291;6.615;2.1;Valentigney;quarry blast
2018-02-07T09:49:42.773000+00:00;43.934;7.193;1.5;Carros;quarry blast
2018-02-07T09:48:09.593000+00:00;43.77;7.342;1.9;Monaco;quarry blast
2018-02-07T09:35:53.824000+00:00;48.098;5.183;2.1;Chaumont;quarry blast
2018-02-07T09:21:12.317000+00:00;16.524;-96.215;4.6;Miahuatlán de Porfirio Díaz;None
2018-02-07T09:15:55.481000+00:00;43.163;5.966;2.5;Toulon;quarry blast
